0188,04/02/2013,092,R,      641,H,     64.9,*,     69.4,Y,     32.0,H,     61.1,H,     13.0,H,      4.8,H,     0.00,H,       95,H,       53,H,     0.12,*,       71,*,     51.5,H,    117.0
0188,04/03/2013,093,*,      507,*,     64.0,*,     76.1,*,     44.1,*,     59.4,*,     13.1,*,      2.2,*,     0.00,*,       98,*,       47,*,     0.15,*,       76,*,     51.7,*,     53.2
0188,04/04/2013,094,*,      402,*,     63.9,*,     71.1,*,     50.8,*,     58.4,*,     13.8,*,      4.6,*,     0.30,*,       96,*,       61,*,     0.11,*,       82,*,     53.1,*,    111.6
0188,04/05/2013,095,*,      439,*,     63.6,*,     66.1,*,     49.0,*,     56.9,*,     12.6,*,      6.3,*,     0.00,*,       96,*,       59,*,     0.13,*,       80,*,     50.6,*,    151.2
0188,04/06/2013,096,*,      501,*,     63.1,*,     68.3,*,     46.3,*,     57.4,*,     12.4,*,      6.5,*,     0.00,*,       96,*,       56,*,     0.15,*,       77,*,     50.3,*,    156.2
0188,04/07/2013,097,*,      513,*,     63.6,*,     71.3,*,     46.7,*,     58.1,*,     12.2,*,      6.0,*,     0.00,*,       94,*,       50,*,     0.16,*,       73,*,     49.7,*,    143.8
0188,04/08/2013,098,*,      501,*,     62.5,*,     63.8,*,     45.4,*,     54.1,*,      8.2,Y,     10.8,*,     0.02,*,       94,*,       33,*,     0.20,*,       58,*,     39.5,Y,    260.7
0188,04/09/2013,099,*,      586,*,     61.3,*,     71.0,*,     41.5,*,     56.3,*,      7.8,*,      5.6,*,     0.00,*,       87,*,       28,*,     0.19,*,       50,*,     38.0,*,    135.8
0188,04/10/2013,100,*,      579,*,     62.0,*,     77.5,*,     39.5,*,     59.5,*,     10.2,*,      2.5,*,     0.00,*,       93,*,       33,*,     0.18,*,       59,*,     45.0,*,     60.4
0188,04/11/2013,101,*,      556,*,     63.2,*,     74.0,*,     47.9,*,     61.0,*,     12.0,*,      6.0,*,     0.00,*,       91,*,       46,*,     0.19,*,       65,*,     49.3,*,    145.7
0188,04/12/2013,102,*,      578,*,     64.0,*,     78.6,*,     43.5,*,     61.2,*,     11.5,*,      3.3,*,     0.00,*,       95,*,       32,*,     0.19,*,       62,*,     48.2,*,     78.7
0188,04/13/2013,103,*,      554,*,     64.1,*,     76.8,*,     44.1,*,     61.4,*,     11.6,*,      4.2,*,     0.00,*,       96,*,       35,*,     0.19,*,       63,*,     48.5,*,    101.5
0188,04/14/2013,104,*,      596,*,     64.3,*,     73.1,*,     45.7,*,     59.3,*,      8.9,*,      6.8,*,     0.00,*,       89,*,       25,*,     0.21,*,       52,*,     41.6,*,    165.0
0188,04/15/2013,105,*,      586,*,     64.0,*,     65.6,*,     43.9,*,     54.5,*,      8.9,*,      7.0,*,     0.00,*,       90,*,       38,*,     0.19,*,       62,*,     41.5,*,    169.9
0188,04/16/2013,106,*,      605,*,     62.5,*,     66.3,*,     36.5,*,     52.2,*,      6.4,*,      7.5,*,     0.00,*,       86,*,       23,*,     0.22,*,       48,*,     33.0,*,    180.6
0188,04/17/2013,107,*,      536,*,     63.9,*,     68.6,*,     41.7,*,     59.5,*,      5.6,*,      6.4,*,     0.00,*,       85,*,       21,*,     0.21,*,       32,*,     30.0,*,    155.5
0188,04/18/2013,108,*,      647,*,     61.5,*,     74.1,*,     36.8,*,     55.4,*,      7.5,*,      2.7,*,     0.00,*,       86,*,       23,*,     0.19,*,       50,*,     37.0,*,     65.2
0188,04/19/2013,109,*,      621,*,     62.2,*,     79.4,*,     42.0,*,     61.3,*,      9.4,*,      3.1,*,     0.00,*,       88,*,       27,*,     0.21,*,       51,*,     42.9,*,     76.0
0188,04/20/2013,110,*,      639,*,     63.7,*,     80.9,*,     46.0,*,     63.2,*,     11.0,*,      4.3,*,     0.00,*,       93,*,       27,*,     0.22,*,       56,*,     47.1,*,    103.0
0188,04/21/2013,111,*,      634,*,     64.2,*,     84.8,*,     41.7,*,     63.5,*,     11.4,*,      3.0,*,     0.00,*,       95,*,       22,*,     0.22,*,       57,*,     47.9,*,     71.7
0188,04/22/2013,112,*,      634,*,     65.1,*,     85.0,*,     45.0,*,     66.0,*,     11.6,*,      4.2,*,     0.00,*,       96,*,       24,*,     0.24,*,       53,*,     48.4,*,    101.5
0188,04/23/2013,113,*,      641,*,     65.7,*,     83.8,*,     45.6,*,     65.0,*,     10.3,*,      3.5,*,     0.00,*,       84,*,       30,*,     0.22,*,       49,*,     45.3,*,     83.9
0188,04/24/2013,114,*,      643,*,     65.9,*,     84.6,*,     43.4,*,     64.6,*,     10.4,*,      4.8,*,     0.00,*,       92,*,       24,*,     0.23,*,       50,*,     45.6,*,    115.4
0188,04/25/2013,115,*,      639,*,     66.6,*,     77.1,*,     46.7,*,     62.5,*,     12.1,*,      5.1,*,     0.00,*,       93,*,       37,*,     0.21,*,       62,*,     49.5,*,    123.5
0188,04/26/2013,116,*,      644,*,     66.7,*,     81.6,*,     43.3,*,     63.6,*,     11.4,*,      3.9,*,     0.00,*,       97,*,       26,*,     0.22,*,       57,*,     47.9,*,     93.3
0188,04/27/2013,117,*,      636,*,     67.4,*,     86.3,*,     46.8,*,     67.7,*,     13.2,*,      3.5,*,     0.00,*,       96,*,       29,*,     0.23,*,       57,*,     51.8,*,     83.5
0188,04/28/2013,118,*,      669,*,     68.3,*,     89.1,*,     45.5,*,     68.8,*,     13.2,*,      3.3,*,     0.00,*,       97,*,       23,*,     0.24,*,       55,*,     51.9,*,     80.2
0188,04/29/2013,119,*,      652,*,     69.3,*,     90.6,*,     51.5,*,     71.7,*,     13.0,*,      4.4,*,     0.00,*,       96,*,       22,*,     0.26,*,       49,*,     51.6,*,    105.0
0188,04/30/2013,120,*,      650,*,     69.8,*,     83.9,*,     51.3,*,     69.3,*,      9.4,*,      6.4,*,     0.00,*,       90,*,       20,*,     0.28,*,       39,*,     43.0,*,    154.0
0188,05/01/2013,121,*,      662,*,     69.3,*,     86.5,*,     46.4,*,     66.1,*,      9.6,*,      2.6,*,     0.00,*,       80,*,       23,*,     0.22,*,       44,*,     43.5,*,     62.2
0188,05/02/2013,122,*,      655,*,     69.4,*,     91.4,*,     46.0,*,     69.4,*,     11.9,*,      2.4,*,     0.00,*,       93,*,       19,*,     0.23,*,       48,*,     49.1,*,     57.3
0188,05/03/2013,123,*,      666,*,     70.1,*,     92.8,*,     46.4,*,     71.7,*,      9.8,*,      3.4,*,     0.00,*,       92,*,       14,*,     0.26,*,       37,*,     44.1,*,     83.2
0188,05/04/2013,124,*,      642,*,     70.7,*,     90.8,*,     49.7,*,     70.8,*,      9.9,*,      3.2,*,     0.00,*,       89,*,       17,*,     0.25,*,       39,*,     44.3,*,     77.2
