261,9/18/2019,261,0.03,H,0,H,151,H,10,H,62.4, ,49.9,Y,54.7,H,86,H,52,H,68, ,44.5, ,4.8,H,115.2,H,63.8,H
261,9/19/2019,262,0.12, ,0, ,428, ,10.4, ,64.2, ,41.9, ,53.6, ,97, ,50, ,74, ,45.6, ,4.2, ,100.8, ,62.6, 
261,9/20/2019,263,0.14, ,0, ,501, ,9.8, ,68.9, ,37.1, ,52.8, ,97, ,50, ,72, ,43.9, ,3.8, ,91.9, ,61.5, 
261,9/21/2019,264,0.14, ,0, ,507, ,10.1, ,74, ,38.6, ,55.2, ,98, ,39, ,68, ,44.7, ,2.8, ,67.3, ,62.3, 
261,9/22/2019,265,0.06, ,0.03, ,226, ,11.5, ,66.1, ,43.5, ,54.2, ,93, ,56, ,80, ,48.3, ,3.3, ,78.4, ,61.3, 
261,9/23/2019,266,0.14, ,0, ,499, ,10.6, ,73.7, ,40.2, ,57.3, ,93, ,42, ,66, ,46, ,3.4, ,82, ,62.3, 
261,9/24/2019,267,0.14, ,0, ,475, ,12.8,Y,80, ,43.7, ,60.9, ,95, ,46, ,70,Y,51,Y,3.2, ,77.7, ,64.2, 
261,9/25/2019,268,0.16, ,0, ,489, ,12.5,Y,82.3, ,47.2, ,64, ,97, ,28, ,61,Y,50.4,Y,3.8, ,90.2, ,66.1,Y
261,9/26/2019,269,0.14, ,0, ,472, ,10.7, ,84.9, ,43.5, ,62.4, ,88, ,28, ,56, ,46.3, ,2.7, ,65, ,66.6,Y
261,9/27/2019,270,0.13, ,0, ,394, ,9.8, ,72.6, ,39, ,56.8, ,91, ,39, ,62, ,44.1, ,3.9, ,94.7, ,66.3,Y
261,9/28/2019,271,0.09, ,0.04, ,344, ,7.2, ,56.3, ,35.6, ,43.3,Y,92, ,42, ,76,Y,36.2,Y,4.7, ,112, ,61, 
261,9/29/2019,272,0.03, ,0.08, ,181, ,7.4, ,50.6,Y,32.9, ,41.2,Y,94, ,59, ,85,Y,36.9,Y,3, ,71.9, ,56.2, 
261,9/30/2019,273,0.09, ,0, ,395, ,7.2, ,54.2,Y,35.2, ,43.9, ,96, ,46, ,74, ,36.1, ,3.1, ,74.9, ,56.3, 
261,10/1/2019,274,0.11, ,0, ,475,R,6, ,58.2, ,25.5, ,42.1,Y,97, ,36, ,66,Y,31.7,Y,3.1, ,74, ,55.7, 
261,10/2/2019,275,0.1, ,0, ,408, ,6.4, ,63.8, ,25, ,44.1, ,94, ,35, ,65, ,33.3, ,2.6, ,61.9, ,55.7, 
261,10/3/2019,276,0.11, ,0, ,391, ,7.6, ,62, ,37.4, ,49.4, ,86, ,45, ,63, ,37.5, ,3.7, ,89.4, ,58, 
261,10/4/2019,277,0.11, ,0, ,440, ,6.3, ,59, ,29.5, ,44.3, ,90, ,39, ,64, ,32.7, ,3.3, ,78.8, ,57.6, 
261,10/5/2019,278,0.11, ,0, ,445,R,6.6, ,65.6, ,26, ,45.4, ,94, ,34, ,63, ,33.7, ,3.1, ,74.6, ,57.3, 
261,10/6/2019,279,0.12, ,0, ,447,R,6.3, ,69.8, ,28.2, ,47.9, ,88, ,28, ,55, ,32.7, ,2.7, ,65.9, ,57.8, 
261,10/7/2019,280,0.12, ,0, ,437,R,7, ,77.5, ,30.4, ,50.6, ,89, ,26, ,55, ,35.3, ,2.5, ,59, ,58.8, 
261,10/8/2019,281,0.13, ,0, ,409, ,7.2, ,73.3, ,32.5, ,50.6, ,86, ,26, ,57, ,36, ,4.1, ,97.8, ,59.3, 
261,10/9/2019,282,0.11, ,0, ,442,R,4.3, ,56.3, ,25.6, ,40.7, ,82, ,24, ,50, ,23.5, ,4.1, ,98.1, ,57.4, 
261,10/10/2019,283,0.1, ,0, ,430,R,3.7, ,59.5, ,21.4, ,39.3,Y,72, ,24, ,45,Y,19.9,Y,2.9, ,69.4, ,54.1, 
261,10/11/2019,284,0.1, ,0, ,421,R,4.1, ,66.3, ,21.5, ,41.3, ,78, ,20, ,46, ,22.1, ,2.4, ,57.3, ,53.1, 
261,10/12/2019,285,0.09, ,0, ,378, ,5, ,67.7, ,23, ,44.4, ,82, ,25, ,50, ,26.9, ,2.2, ,51.8, ,52, 
261,10/13/2019,286,0.11, ,0, ,394, ,5.7, ,69.5, ,27.8, ,47.7, ,82, ,26, ,50, ,30.1, ,2.9, ,68.7, ,52.8, 
261,10/14/2019,287,0.1, ,0, ,395, ,6.2, ,72.3, ,26.7, ,46.8, ,87, ,27, ,57, ,32.2, ,2.4, ,57.8, ,52.8, 
261,10/15/2019,288,0.12, ,0, ,313, ,5.7, ,70.1, ,28.7, ,49.4, ,85, ,28, ,48, ,30.4, ,5.4, ,129.7, ,51.9, 
261,10/16/2019,289,0.17, ,0.09, ,326, ,6.4, ,69.2, ,35.7, ,53.1, ,85, ,23, ,47, ,33.2, ,9.6,Y,229.4,Y,50.7, 
261,10/17/2019,290,0.07, ,0.02, ,260, ,7.5, ,55.9, ,31.1, ,45.3, ,96, ,49, ,72, ,37, ,4.2, ,100.2, ,51.5, 
261,10/18/2019,291,0.08, ,0.01, ,345, ,7.9, ,59.2, ,32.9, ,47.3, ,93, ,49, ,71, ,38.5, ,3.1, ,73.2, ,51.6, 
261,10/19/2019,292,0.05, ,0.17, ,185, ,8.2, ,58.9, ,33.4, ,46.4, ,96, ,42, ,76, ,39.4, ,4.3, ,104.3, ,51.8, 
261,10/20/2019,293,0.03, ,0, ,170, ,7.5, ,56.4, ,32.3, ,43, ,95, ,55, ,80, ,37.1, ,2.1, ,51.6, ,49.3, 
261,10/21/2019,294,0.09, ,0, ,351, ,8.6, ,68.7, ,33.6, ,49.5, ,98, ,39, ,72, ,40.7, ,2.7, ,65, ,51.8, 
261,10/22/2019,295,0.09, ,0, ,352, ,9.1, ,69.2, ,31.5, ,49.1, ,98, ,46, ,76, ,42, ,2.5, ,60.9, ,52.8, 
261,10/23/2019,296,0.1, ,0, ,370,R,6.9, ,67.2, ,32.9, ,48.9, ,100, ,24, ,59, ,35.1, ,3.9, ,94.3, ,52.9, 
261,10/24/2019,297,0.09, ,0, ,347, ,5.8, ,68.3, ,30.1, ,47.7, ,80, ,26, ,51, ,30.5, ,2.5, ,59, ,52.2, 
261,10/25/2019,298,0.08, ,0, ,352, ,6.5, ,72.8, ,29, ,48.8, ,87, ,23, ,55, ,33.4, ,2.4, ,56.4, ,52.3, 
261,10/26/2019,299,0.09, ,0, ,354,R,6, ,59.9, ,34.7, ,46.5, ,95, ,20, ,56, ,31.7, ,4.9, ,117.4, ,52.8, 
261,10/27/2019,300,0.08, ,0, ,352,R,3.5, ,53.2, ,21.5, ,37.4, ,72, ,25, ,46, ,18.4, ,4.5, ,107.5, ,49.2, 
261,10/28/2019,301,0.07, ,0, ,339, ,3.1, ,56.3, ,16.8, ,35, ,76, ,21, ,46, ,16.2, ,2.5, ,60.8, ,46.9, 
261,10/29/2019,302,0.08, ,0, ,346,R,2.6,Y,51.2, ,21.1, ,35.4, ,68, ,12, ,37,Y,11.7,Y,4, ,94.9, ,46.3, 
261,10/30/2019,303,0.06, ,0, ,342,R,2,Y,51.4, ,11.5,Y,29.6,Y,63, ,15, ,36,Y,6.2,Y,2.4, ,57.4, ,43.8,Y
261,10/31/2019,304,0.06, ,0, ,331,R,2.7,Y,58, ,13.6,Y,33.1, ,73, ,18, ,43,Y,13,Y,2.3, ,54.4, ,43.4,Y
261,11/1/2019,305,0.07, ,0, ,318, ,3.6, ,62.6, ,20.3, ,38.7, ,72, ,19, ,45, ,19.2, ,2.3, ,54.3, ,44.4, 
261,11/2/2019,306,0.07, ,0, ,316, ,4.5, ,65.3, ,24.3, ,41.2, ,79, ,24, ,51, ,24.6, ,2, ,48.5, ,45.1, 
261,11/3/2019,307,0.07, ,0, ,310, ,5.2, ,68.7, ,25.7, ,42.5, ,82, ,27, ,56, ,28.1, ,2, ,48.1, ,45.6, 
261,11/4/2019,308,0.07, ,0, ,306, ,5.9, ,68.2, ,27, ,43.3, ,86, ,32, ,62, ,31.1, ,2.1, ,49.6, ,46.1, 
261,11/5/2019,309,0.06, ,0, ,253, ,6.3, ,64.7, ,24.3, ,43.3, ,91, ,36, ,66, ,32.8, ,2.1, ,49.3, ,45.8, 
